"domain","site","grid","lat","lon","elev","nlcd"
"D17_Pacific Southwest","TEAK","TEAK_007",36.998941,-119.052319,2114.2,"evergreenForest"
"D17_Pacific Southwest","TEAK","TEAK_010",37.015799,-119.049156,2203,"evergreenForest"
"D17_Pacific Southwest","TEAK","TEAK_025",36.989286,-119.023209,2306.7,"shrubScrub"
"D17_Pacific Southwest","TEAK","TEAK_032",37.055469,-118.981733,2540.3,"shrubScrub"
"D18_Northeast","BARR","BARR_030",71.2477,-156.425986,6.2,"sedgeHerbaceous"
"D18_Northeast","BARR","BARR_036",71.254318,-156.502873,5.4,"sedgeHerbaceous"
"D18_Northeast","BARR","BARR_037",71.250062,-156.48085,5.1,"sedgeHerbaceous"
"D18_Northeast","BARR","BARR_044",71.249902,-156.434698,4.6,"sedgeHerbaceous"
"D18_Northeast","BARR","BARR_083",71.242731,-156.3288,3.6,"sedgeHerbaceous"
"D18_Northeast","BARR","BARR_084",71.247904,-156.440133,4.8,"sedgeHerbaceous"
"D18_Northeast","TOOL","TOOL_002",68.628701,-149.344443,856.6,"dwarfScrub"
"D18_Northeast","TOOL","TOOL_007",68.645207,-149.359253,857.2,"dwarfScrub"
"D18_Northeast","TOOL","TOOL_031",68.600789,-149.503828,905.9,"dwarfScrub"
"D18_Northeast","TOOL","TOOL_071",68.599097,-149.507447,890.7,"dwarfScrub"
"D18_Northeast","TOOL","TOOL_073",68.642251,-149.581145,717.7,"sedgeHerbaceous"
"D18_Northeast","TOOL","TOOL_076",68.624715,-149.565958,764.1,"dwarfScrub"
"D18_Northeast","TOOL","TOOL_077",68.625906,-149.337798,874.9,"sedgeHerbaceous"
"D18_Northeast","TOOL","TOOL_078",68.646164,-149.574428,724.1,"shrubScrub"
"D19_Midatlantic","BONA","BONA_002",65.163195,-147.530268,473,"deciduousForest"
"D19_Midatlantic","BONA","BONA_004",65.192017,-147.536397,663,"evergreenForest"
"D19_Midatlantic","BONA","BONA_014",65.174979,-147.463042,279,"deciduousForest"
"D19_Midatlantic","BONA","BONA_020",65.187086,-147.547446,621.5,"evergreenForest"
"D19_Midatlantic","BONA","BONA_023",65.164404,-147.511696,366.9,"shrubScrub"
"D19_Midatlantic","BONA","BONA_033",65.15478,-147.521723,285.4,"deciduousForest"
"D19_Midatlantic","BONA","BONA_094",65.163698,-147.496318,271.6,"mixedForest"
"D19_Midatlantic","DEJU","DEJU_001",63.891171,-145.768626,497,"shrubScrub"
"D19_Midatlantic","DEJU","DEJU_003",63.929416,-145.752073,451.7,"shrubScrub"
"D19_Midatlantic","DEJU","DEJU_005",63.899671,-145.758321,480.4,"shrubScrub"
"D19_Midatlantic","DEJU","DEJU_006",63.83638,-145.747622,540.9,"evergreenForest"
"D19_Midatlantic","DEJU","DEJU_014",63.832148,-145.745422,541.5,"evergreenForest"
"D19_Midatlantic","DEJU","DEJU_017",63.882021,-145.781394,518.4,"evergreenForest"
"D19_Midatlantic","HEAL","HEAL_002",63.871874,-149.243171,693.4,"dwarfScrub"
"D19_Midatlantic","HEAL","HEAL_010",63.878494,-149.264537,657.5,"shrubScrub"
"D19_Midatlantic","HEAL","HEAL_014",63.886747,-149.276829,671.2,"shrubScrub"
"D19_Midatlantic","HEAL","HEAL_016",63.87868,-149.202926,641.8,"shrubScrub"
"D19_Midatlantic","HEAL","HEAL_031",63.875024,-149.239578,677.5,"dwarfScrub"
"D19_Midatlantic","HEAL","HEAL_032",63.883024,-149.267486,662.3,"shrubScrub"
"D19_Midatlantic","HEAL","HEAL_033",63.875646,-149.25754,671.3,"shrubScrub"
"D19_Midatlantic","HEAL","HEAL_034",63.877737,-149.185738,633.9,"shrubScrub"
